DEPTH, NO 6507/7-A-22,NO 6507/7-A-28,NO 6507/7-A-29,NO 6507/7-A-40,NO 6507/7-A-52,NO 6507/7-A-9
436.5,123.0061,56.2036,90.9039,60.0929,54.106,85.2136
437.75,120.792,62.0522,86.4785,45.3028,58.848,57.7948
438,120.5743,61.9307,85.7465,45.9019,63.32,74.3884
438.25,116.576,61.8005,89.8256,52.5639,65.816,66.3559
438.5,112.3195,62.564,91.1271,49.7182,65.816,68.4397
439.5,97.5027,56.8063,90.7634,48.8571,58.286,75.0836
440.25,89.2821,60.192,93.7049,46.8394,62.467,61.9359
440.75,86.2874,62.0619,85.9828,50.8664,57.184,67.3948
441.25,89.7451,63.8566,82.8693,52.1227,54.938,69.4141
441.5,82.9406,64.9968,82.6209,49.7723,54.938,69.0985
442,89.284,62.9282,92.667,64.379,46.576,77.2547
442.5,99.8471,61.705,83.6787,51.7306,57.454,82.9134
443.25,96.5829,60.8759,95.9804,65.6784,46.576,75.9249
444.25,97.4869,68.7784,80.1445,47.6668,58.702,72.8816
445,101.7169,60.8016,75.7636,46.7094,71.12,72.2152
445.5,87.6052,60.8021,77.4475,45.6667,61.635,74.7163
446.25,55.4039,58.6602,74.724,39.452,71.12,71.3028
446.75,42.6585,59.2762,72.8761,35.8559,65.816,66.978
447,51.4476,62.434,70.2806,59.4332,57.87,58.926
447.25,61.6798,62.9645,71.8512,51.9867,66.648,70.1546
448,99.5421,65.054,78.3699,71.074,59.971,78.9368
448.5,98.1733,69.1538,74.4492,65.733,61.635,69.2283
449.25,101.0355,69.883,79.1032,75.547,59.971,77.0073
449.75,95.1966,72.4728,79.3777,73.2177,63.32,70.9634
450,92.3088,73.4196,88.4711,39.389,61.635,67.8859
450.25,97.4079,77.409,80.899,62.6471,61.635,68.5206
451.5,89.6289,71.7417,92.8636,47.3244,68.749,72.0844
452.75,84.2207,76.1517,91.4357,57.4391,75.446,73.3768
453,76.9486,73.2523,86.9376,76.7401,80.875,63.4537
453.25,79.2162,69.0121,88.0495,54.203,81.707,67.6419
453.75,86.5032,68.5479,87.9593,65.6114,80.875,61.9328
454,89.7405,69.8404,85.2196,72.8175,75.862,76.6738
454.5,92.3562,79.6166,85.8521,71.56,80.459,73.2522
455.75,76.8418,73.992,81.9959,62.2873,65.816,74.2788
456,79.731,73.235,78.1364,53.2822,75.862,66.5977
456.25,84.9086,74.0089,78.2454,70.4548,68.042,68.1696
456.75,85.4562,71.7924,77.2827,57.5638,75.862,63.3708
457,85.4357,71.883,84.4963,44.718,69.165,75.7387
457.5,89.7664,76.3392,81.2689,49.8247,64.984,71.7315
458.75,89.2182,85.3968,85.5534,55.1538,76.694,64.7084
459,91.1089,87.3254,85.7466,78.9091,74.614,53.2797
459.25,95.8924,89.0771,84.5629,61.2311,67.771,51.0515
459.75,96.4586,88.9383,84.9897,66.8765,74.614,50.8229
460,94.7088,86.5811,86.684,70.1927,81.291,61.2206
460.5,110.9773,81.5734,86.8821,73.5169,71.682,59.9604
461.25,116.2439,80.9775,87.1499,69.879,81.291,61.4964
461.75,124.2741,83.3507,89.3068,65.9117,88.405,63.9055
462,117.9942,83.2127,94.5664,67.6298,99.699,64.0978
462.25,116.4025,84.1737,91.0777,65.9036,90.506,63.44
463.5,103.7775,81.7268,96.489,56.5101,67.501,72.5043
464.25,93.0945,77.7309,94.5398,62.2551,75.03,74.4069
464.75,84.5414,77.4009,91.2639,64.9786,81.707,71.7502
465.25,76.3049,79.5844,87.2385,72.7046,72.098,70.0755
465.5,82.2366,80.813,83.9997,67.6616,72.098,66.3932
466.5,72.4793,88.1342,76.6317,64.7612,71.12,63.5698
467.25,54.3728,77.9942,77.3783,71.8427,86.741,73.4527
467.75,61.7125,78.1759,75.8616,66.2306,74.178,65.6277
468,55.7466,81.9467,75.4562,54.6163,69.165,62.0795
468.5,46.6871,87.689,73.1058,67.6947,75.301,66.5595
469.5,49.2001,78.9672,77.0079,69.7459,64.984,57.8457
469.75,48.2706,79.1957,76.5257,65.4782,64.984,56.6826
470,45.8699,80.38,81.2766,60.6834,73.762,45.904
470.25,47.3983,81.5922,76.5017,55.1362,75.446,55.9033
470.75,48.6887,78.6173,79.9642,65.66,73.762,49.5258
471.5,54.6616,74.8005,74.8489,68.745,67.501,40.6321
472.75,50.2782,76.9422,49.6596,65.0409,65.546,39.4082
473,45.4261,75.9392,50.4752,52.0968,80.875,35.3503
473.75,45.3404,74.08,50.7962,48.1068,80.875,37.1897
476,53.6682,74.6022,54.6126,71.5176,73.075,32.3182
476.25,53.8354,73.7905,56.8854,73.7503,69.726,33.1236
477.5,68.5203,71.4271,50.907,76.7856,64.984,37.1999
478.25,86.3527,72.2456,46.5285,71.2588,53.066,43.0064
479,86.6254,70.541,49.5629,78.7172,59.514,34.0272
479.25,81.7611,67.9373,51.1995,82.2824,50.757,42.9161
479.5,75.4336,66.2897,51.248,83.3806,50.757,41.9177
480.5,59.0016,70.7522,51.3724,79.4398,68.333,29.7846
481.25,57.3717,72.2465,55.3742,72.3562,68.749,22.822
481.75,57.6423,75.5045,57.7645,73.1408,66.294,30.0543
482,56.4015,76.5368,64.3474,77.5455,59.867,48.4367
482.5,57.0436,73.6329,62.6895,72.2933,61.365,43.0146
483.5,51.972,67.9032,61.9313,91.8366,56.622,51.7089
483.75,57.8365,67.9195,62.7987,91.1246,56.622,52.2386
484.25,67.7444,69.1036,68.6149,86.1077,64.36,46.4365
484.75,63.9993,69.6506,67.0319,75.5584,63.029,40.4063
485,58.8464,70.0124,59.8772,85.9636,80.875,43.2614
485.5,47.0396,71.4557,59.137,70.4866,64.422,39.4018
486.75,58.0445,77.9356,55.4752,78.1795,76.84,35.3852
487,61.7149,75.5912,54.9541,78.6162,68.894,37.1337
487.25,63.7753,74.2964,51.0294,77.0452,81.998,34.7878
487.75,65.7989,77.9776,53.6489,81.7859,68.894,38.7663
488,76.6533,80.1227,56.9927,67.7233,70.558,44.3691
488.5,50.6179,80.2577,56.1932,67.9253,73.554,37.2804
489.25,63.4461,74.0043,57.543,73.7788,70.558,44.2445
489.75,50.8551,70.1827,59.4956,77.2137,70.246,41.9502
490,47.2225,73.3418,57.8716,67.8874,79.419,35.032
