DEPTH,NO 6507/7-A-14,NO 6507/7-A-28,NO 6507/7-A-38,NO 6507/7-A-49
190.5,129.3278,91.3308,135.4,70.31798201
191,125.7733,91.6085,137.25,71.44906469
191.25,124.1432,90.471,128.99,68.99163599
191.5,122.3613,89.782,128.99,70.37845187
192,118.9283,90.3923,124.56,70.98646472
192.25,117.3161,90.8314,137.25,70.71385143
193,114.275,88.3661,128.99,74.89141144
193.25,113.6771,87.9344,124.56,71.5560701
194,113.0882,88.3091,132.63,74.93106561
194.25,113.8812,89.073,128.99,74.5091158
195,118.8185,92.7062,132.03,74.08087644
195.75,123.4576,92.6478,132.03,77.18457837
196,124.7657,92.1104,127.69,68.39713739
196.75,131.5565,91.5217,127.69,69.15816587
197,134.1519,91.3233,123.01,65.10661413
197.75,135.1927,88.832,123.01,66.3363058
198.75,130.9072,93.3237,127.26,60.16213455
199.5,129.667,97.4296,125.08,56.28194111
199.75,129.6523,96.0407,125.08,57.94276789
200.5,128.4069,91.6502,118.86,57.54317361
200.75,127.8869,90.7935,118.86,60.53994404
201.5,126.2757,88.1597,121.28,61.37002261
201.75,125.1483,87.0521,121.28,61.91263387
202.25,123.8651,86.0494,122.04,61.88506469
202.5,125.5382,86.295,122.04,63.01489044
203.25,129.9729,95.8699,139.34,58.6919198
203.5,131.2602,99.4256,139.34,59.2378056
204.25,134.5722,97.2001,129.28,62.7909221
204.5,135.1836,96.8792,129.28,63.13796916
205,134.4944,96.6288,119.66,62.91844706
205.25,133.5896,97.3107,123.35,59.59222762
206,131.4476,95.4098,113.9,64.38329669
206.25,130.9054,93.5194,119.66,60.88944702
207,130.181,97.4657,112.05,63.54069376
207.25,131.5379,100.8176,113.9,62.60114547
208,138.3181,101.3631,117.85,66.53442279
208.25,139.9156,100.7555,112.05,65.58401657
208.75,139.7165,100.0534,117.85,62.10461324
209,137.0368,101.3282,117.12,67.56955295
209.75,135.6754,103.315,117.12,67.24771548
210,136.5275,104.5094,116.51,66.16832384
210.75,133.759,102.9715,116.51,65.79123209
211,130.1019,100.691,117.05,70.33522559
211.75,133.7354,99.6838,117.05,69.54307272
212.5,123.2991,95.9927,117.48,69.42687443
212.75,122.5013,96.8279,117.48,71.49469384
213.5,127.7831,97.6041,127.69,69.58018586
213.75,130.6033,97.2721,127.69,68.50878913
214.5,131.5096,96.6572,124.13,64.99076735
214.75,135.4703,97.079,124.13,63.22213318
215.5,139.6762,97.0563,120.31,64.10286232
216.25,133.4452,94.1479,111.88,72.10434339
216.5,131.2389,94.6284,111.88,72.17787897
217.25,127.0043,92.2053,113.36,70.7909908
217.5,126.0032,89.3549,113.36,71.78192298
218,124.4146,82.9183,128.73,78.01339098
218.25,123.8063,80.8361,130.21,72.08154544
218.5,125.9908,80.4743,130.21,76.16163967
219,130.5599,79.9536,108.36,71.23113659
219.25,129.101,83.0616,128.73,76.03283927
220,111.2643,87.8635,101.05,68.86844787
220.25,106.9639,84.4238,108.36,69.23748774
221,113.3225,74.0545,108.15,76.04274532
221.25,117.3669,75.3019,101.05,70.55839435
222,124.0031,85.0841,115.09,78.7638694
222.25,126.3319,86.8364,108.15,75.59466386
222.75,124.9722,90.0393,115.09,76.85087051
223,121.545,89.3853,108.8,73.36360155
223.75,118.0642,79.5511,108.8,73.80329198
224,115.519,75.7815,105.11,73.2824919
224.75,111.5343,72.2857,105.11,72.26842241
225.75,111.8569,70.1642,94.57,71.22284871
226.5,108.0163,77.4486,107.6,73.79071591
226.75,107.0406,80.1584,107.6,73.63115992
227.5,104.7758,79.1399,111.62,75.42469073
227.75,104.3526,80.6157,111.62,74.27656916
228.5,105.8812,88.2965,101.78,71.24121174
228.75,109.3088,86.5753,101.78,72.10185938
229.25,113.0815,85.9785,102.26,71.28029386
229.5,114.2139,85.0344,102.26,71.2790548
230.25,117.4224,78.6101,106.3,73.8199244
230.5,118.0122,76.8709,106.3,70.82865444
231.25,115.1761,88.1401,109.54,67.06830317
231.5,114.082,95.1285,109.54,68.47719353
232,111.9136,100.3549,109.01,68.93260399
232.25,110.5447,101.2035,109.45,72.78770533
233,104.3216,89.4913,106.41,78.80953057
233.25,105.13,81.7335,109.01,70.30730059
234,104.6617,75.8841,107.28,71.2007375
234.25,102.8332,76.3291,106.41,76.66623314
235.25,103.2767,68.29,107.28,74.34917502
239.5,112.556,72.5748,106.16,79.3259068
239.75,110.4489,71.6808,106.16,78.00332332
240.5,105.0139,68.523,115.79,78.82249622
240.75,103.4798,67.496,115.79,79.49041046
241.5,135.9436,74.3973,111.46,80.24522534
241.75,139.4936,78.477,111.46,79.05861473
242.5,134.207,90.0654,115.24,77.64451784
243.25,127.8773,98.3184,112.87,77.88675733
243.5,125.9839,101.1018,112.87,79.60607225
244.25,111.2653,107.5376,111.33,80.26622616
244.5,105.9993,104.6669,111.33,80.09998968
245.25,104.6292,85.2926,115.09,82.48790579
245.5,103.996,81.0807,115.09,83.25867742
246,102.0975,85.0382,107.71,91.1241367
246.25,101.4347,90.1218,112.92,88.12911172
247,100.9606,104.6899,105.32,93.53028519
247.25,101.1259,110.1822,107.71,93.62981243
248,92.2663,77.7934,109.45,92.20031372
248.25,87.1058,65.8259,105.32,94.90769349
249,74.3085,64.5581,107.71,88.25429355
249.25,72.9802,62.5507,109.45,89.90736496
249.75,77.2618,61.8669,107.71,89.7096591
250,79.5385,64.1673,112.05,92.69335655
250.75,79.1213,65.34,112.05,91.7777317
251,80.5733,63.1389,115.75,87.67668694
251.75,83.1184,59.3462,115.75,91.18109605
252.75,79.6359,52.2549,130.51,86.26313198
253.5,80.5776,57.893,111.76,90.43955395
253.75,81.3304,59.7318,111.76,92.3396405
254.5,84.7463,60.6149,108.58,97.43853973
