DEPTH,BONA0014,BONA0019,BONA0042,BONA0047,BONA0049,BONA0053,BONA0054
81.75,56.5231,41.9383,46.5034,86.9636,52.7103,53.6861,73.7388
82,47.9028,45.694,41.6773,88.6116,52.1673,52.3804,73.9449
82.25,52.3498,43.0922,43.469,91.2952,52.875,51.1974,73.9035
82.5,50.4847,43.9634,42.6549,94.1773,54.6259,50.0175,73.4761
82.75,48.9878,44.836,41.952,97.3803,56.6118,49.1693,72.7088
83,46.0954,49.1102,42.3618,100.3103,58.7338,48.328,71.8528
83.25,47.075,46.427,41.6537,102.7998,61.2697,47.793,71.1024
83.5,46.535,47.1844,41.982,105.2881,63.9661,47.2532,70.5541
83.75,46.2004,48.1505,42.2038,107.7743,65.3557,46.5981,70.2297
84,45.3285,47.5653,41.6438,110.3941,66.4356,45.9238,70.0134
84.25,46.0424,50.0168,42.1118,113.2287,66.0586,44.9298,69.6564
84.5,46.0474,50.6504,41.7886,115.8623,65.5126,43.9637,68.8973
84.75,45.8185,49.0149,41.6401,118.174,65.8966,43.3485,67.8148
85,44.1384,47.1725,43.6217,120.1552,66.2497,42.8518,66.9189
85.25,44.829,47.6419,42.0994,121.6077,66,43.5447,66.8292
85.5,44.319,47.6836,42.705,122.1471,65.3767,44.397,67.8585
85.75,44.0784,47.4435,43.4861,121.2292,62.7801,46.5691,69.9268
86,45.0315,44.7693,41.9792,119.8085,60.7575,48.8734,72.6627
86.5,44.7664,46.118,42.9029,114.9628,60.3387,55.345,77.9791
86.75,44.9965,45.4321,42.3376,111.6984,60.4386,58.629,79.7702
87,42.73,44.8865,40.9361,108.1848,61.403,61.7513,80.8066
87.25,44.7592,44.287,41.6389,104.276,63.5501,64.0176,81.1247
87.5,44.1442,43.9197,41.3419,100.8191,64.3587,66.1079,80.9052
87.75,43.4701,44.44,41.1081,98.0773,63.8813,67.3743,80.5281
88,41.9989,44.183,41.6334,96.2968,64.2264,68.5652,80.394
88.25,42.2123,44.7699,40.7582,96.0342,65.1252,69.4412,80.7438
88.5,41.9423,44.6302,40.5779,96.2561,66.1267,70.2232,81.565
88.75,41.8639,44.3165,40.9887,97.2412,67.1752,70.6524,82.6835
89,41.1844,51.8614,49.305,98.487,66.448,71.0258,83.907
89.25,41.9825,45.3907,43.4921,100.1424,65.1997,71.2099,85.1464
89.5,41.7975,46.757,45.5047,101.8774,63.9085,71.5813,86.3116
89.75,41.5344,49.2895,47.815,103.737,62.6102,72.5319,87.2132
90,40.1248,63.1634,47.6044,105.4462,60.3173,73.5988,87.5498
90.25,40.8888,54.7191,50.1235,106.9199,58.0953,74.9942,86.9118
90.5,40.6538,57.5771,49.7767,107.7522,59.1938,75.9847,85.1117
90.75,40.3998,60.4363,49.0592,107.5828,60.2984,75.9262,82.4728
